"count","RE","n_pa"
"0B-0S",-0.000363,57980
"0B-1S",-0.042595,28884
"0B-2S",-0.095208,12188
"1B-0S",0.03854,22470
"1B-1S",-0.014947,22561
"1B-2S",-0.084249,16963
"2B-0S",0.105872,7880
"2B-1S",0.044867,11956
"2B-2S",-0.034221,13852
"3B-0S",0.216791,2617
"3B-1S",0.152542,5091
"3B-2S",0.062865,8249
